depth [m],density [kg/m^3]
227.200,909.3495226
228.000,908.690693
228.803,907.4290302
229.600,908.1432527
230.400,905.6588025
231.200,909.0437226
232.000,906.3183028
232.800,908.0960721
233.600,905.4634327
234.400,902.2671046
235.200,913.690431
235.950,877.3853076
236.780,923.894514
237.600,909.4272824
238.400,910.0472001
239.200,912.1715746
240.060,897.2402609
240.800,911.1798895
241.600,910.6168391
242.400,911.4702703
243.200,904.1749268
244.000,903.2097096
244.800,912.6878884
245.600,892.0552462
246.400,907.9670536
247.200,897.2035802
247.990,901.1774354
248.800,909.8856982
249.600,904.669552
250.400,909.864752
251.200,903.7891346
251.955,909.2720774
252.800,911.7406001
253.600,904.6007805
254.400,908.4251521
255.200,907.1734448
256.005,917.0444204
256.800,893.0248444
257.600,909.51423
258.390,917.7782444
259.200,913.5068705
260.000,881.7519162
260.755,910.8280254
261.600,911.9353006
262.400,904.348168
263.200,912.1046285
264.000,903.9141786
264.800,909.6390366
265.600,903.3244131
266.430,907.060518
267.200,914.3185521
268.000,904.348168
268.800,910.0083521
269.600,902.8997521
270.370,921.7707442
271.200,903.1856445
272.000,908.6527999
272.800,912.8529314
273.600,897.6951986
274.400,911.3260113
275.200,903.8243737
276.000,909.6390366
276.800,912.6267488
277.600,905.0671303
278.400,908.8171727
279.200,912.2220501
280.000,902.5710065
280.800,908.1596815
281.600,906.6152125
282.420,899.0751776
283.200,913.1546214
283.960,905.5521872
284.800,914.2153918
285.600,883.8799975
286.400,912.4615376
287.200,905.8584624
288.000,899.8690739
288.800,900.7629058
289.600,897.7135172
290.410,913.6414382
291.200,909.8519844
